A US Equity,AAL US Equity,AAP US Equity,AAPL US Equity,ABBV US Equity,ABC US Equity,ABMD US Equity,ABT US Equity,ACN US Equity,ADBE US Equity,ADI US Equity,ADM US Equity,ADP US Equity,ADS US Equity,ADSK US Equity,AEE US Equity,AEP US Equity,AES US Equity,AET US Equity,AFL US Equity,AGN US Equity,AIG US Equity,AIV US Equity,AIZ US Equity,AJG US Equity,AKAM US Equity,ALB US Equity,ALGN US Equity,ALK US Equity,ALL US Equity,ALLE US Equity,ALXN US Equity,AMAT US Equity,AMD US Equity,AME US Equity,AMG US Equity,AMGN US Equity,AMP US Equity,AMT US Equity,AMZN US Equity,ANDV US Equity,ANET US Equity,ANSS US Equity,ANTM US Equity,AON US Equity,AOS US Equity,APA US Equity,APC US Equity,APD US Equity,APH US Equity,APTV US Equity,ARE US Equity,ARNC US Equity,ATVI US Equity,AVB US Equity,AVGO US Equity,AVY US Equity,AWK US Equity,AXP US Equity,AZO US Equity,BA US Equity,BAC US Equity,BAX US Equity,BBT US Equity,BBY US Equity,BDX US Equity,BEN US Equity,BF/B US Equity,BHF US Equity,BHGE US Equity,BIIB US Equity,BK US Equity,BKNG US Equity,BLK US Equity,BLL US Equity,BMY US Equity,BR US Equity,BRK/B US Equity,BSX US Equity,BWA US Equity,BXP US Equity,C US Equity,CA US Equity,CAG US Equity,CAH US Equity,CAT US Equity,CB US Equity,CBOE US Equity,CBRE US Equity,CBS US Equity,CCI US Equity,CCL US Equity,CDNS US Equity,CELG US Equity,CERN US Equity,CF US Equity,CFG US Equity,CHD US Equity,CHRW US Equity,CHTR US Equity,CI US Equity,CINF US Equity,CL US Equity,CLX US Equity,CMA US Equity,CMCSA US Equity,CME US Equity,CMG US Equity,CMI US Equity,CMS US Equity,CNC US Equity,CNP US Equity,COF US Equity,COG US Equity,COL US Equity,COO US Equity,COP US Equity,COST US Equity,COTY US Equity,CPB US Equity,CPRT US Equity,CRM US Equity,CSCO US Equity,CSX US Equity,CTAS US Equity,CTL US Equity,CTSH US Equity,CTXS US Equity,CVS US Equity,CVX US Equity,CXO US Equity,D US Equity,DAL US Equity,DE US Equity,DFS US Equity,DG US Equity,DGX US Equity,DHI US Equity,DHR US Equity,DIS US Equity,DISCA US Equity,DISCK US Equity,DISH US Equity,DLR US Equity,DLTR US Equity,DOV US Equity,DRE US Equity,DRI US Equity,DTE US Equity,DUK US Equity,DVA US Equity,DVN US Equity,DWDP US Equity,DXC US Equity,EA US Equity,EBAY US Equity,ECL US Equity,ED US Equity,EFX US Equity,EIX US Equity,EL US Equity,EMN US Equity,EMR US Equity,EOG US Equity,EQIX US Equity,EQR US Equity,EQT US Equity,ES US Equity,ESRX US Equity,ESS US Equity,ETFC US Equity,ETN US Equity,ETR US Equity,EVHC US Equity,EVRG US Equity,EW US Equity,EXC US Equity,EXPD US Equity,EXPE US Equity,EXR US Equity,F US Equity,FAST US Equity,FB US Equity,FBHS US Equity,FCX US Equity,FDX US Equity,FE US Equity,FFIV US Equity,FIS US Equity,FISV US Equity,FITB US Equity,FL US Equity,FLIR US Equity,FLR US Equity,FLS US Equity,FLT US Equity,FMC US Equity,FOX US Equity,FOXA US Equity,FRT US Equity,FTI US Equity,FTV US Equity,GD US Equity,GE US Equity,GILD US Equity,GIS US Equity,GLW US Equity,GM US Equity,GOOG US Equity,GOOGL US Equity,GPC US Equity,GPN US Equity,GPS US Equity,GRMN US Equity,GS US Equity,GT US Equity,GWW US Equity,HAL US Equity,HAS US Equity,HBAN US Equity,HBI US Equity,HCA US Equity,HCP US Equity,HD US Equity,HES US Equity,HFC US Equity,HIG US Equity,HII US Equity,HLT US Equity,HOG US Equity,HOLX US Equity,HON US Equity,HP US Equity,HPE US Equity,HPQ US Equity,HRB US Equity,HRL US Equity,HRS US Equity,HSIC US Equity,HST US Equity,HSY US Equity,HUM US Equity,IBM US Equity,ICE US Equity,IDXX US Equity,IFF US Equity,ILMN US Equity,INCY US Equity,INFO US Equity,INTC US Equity,INTU US Equity,IP US Equity,IPG US Equity,IPGP US Equity,IQV US Equity,IR US Equity,IRM US Equity,ISRG US Equity,IT US Equity,ITW US Equity,IVZ US Equity,JBHT US Equity,JCI US Equity,JEC US Equity,JEF US Equity,JNJ US Equity,JNPR US Equity,JPM US Equity,JWN US Equity,K US Equity,KEY US Equity,KHC US Equity,KIM US Equity,KLAC US Equity,KMB US Equity,KMI US Equity,KMX US Equity,KO US Equity,KORS US Equity,KR US Equity,KSS US Equity,KSU US Equity,L US Equity,LB US Equity,LEG US Equity,LEN US Equity,LH US Equity,LKQ US Equity,LLL US Equity,LLY US Equity,LMT US Equity,LNC US Equity,LNT US Equity,LOW US Equity,LRCX US Equity,LUV US Equity,LYB US Equity,M US Equity,MA US Equity,MAA US Equity,MAC US Equity,MAR US Equity,MAS US Equity,MAT US Equity,MCD US Equity,MCHP US Equity,MCK US Equity,MCO US Equity,MDLZ US Equity,MDT US Equity,MET US Equity,MGM US Equity,MHK US Equity,MKC US Equity,MLM US Equity,MMC US Equity,MMM US Equity,MNST US Equity,MO US Equity,MOS US Equity,MPC US Equity,MRK US Equity,MRO US Equity,MS US Equity,MSCI US Equity,MSFT US Equity,MSI US Equity,MTB US Equity,MTD US Equity,MU US Equity,MYL US Equity,NBL US Equity,NCLH US Equity,NDAQ US Equity,NEE US Equity,NEM US Equity,NFLX US Equity,NFX US Equity,NI US Equity,NKE US Equity,NKTR US Equity,NLSN US Equity,NOC US Equity,NOV US Equity,NRG US Equity,NSC US Equity,NTAP US Equity,NTRS US Equity,NUE US Equity,NVDA US Equity,NWL US Equity,NWS US Equity,NWSA US Equity,O US Equity,OKE US Equity,OMC US Equity,ORCL US Equity,ORLY US Equity,OXY US Equity,PAYX US Equity,PBCT US Equity,PCAR US Equity,PCG US Equity,PEG US Equity,PEP US Equity,PFE US Equity,PFG US Equity,PG US Equity,PGR US Equity,PH US Equity,PHM US Equity,PKG US Equity,PKI US Equity,PLD US Equity,PM US Equity,PNC US Equity,PNR US Equity,PNW US Equity,PPG US Equity,PPL US Equity,PRGO US Equity,PRU US Equity,PSA US Equity,PSX US Equity,PVH US Equity,PWR US Equity,PX US Equity,PXD US Equity,PYPL US Equity,QCOM US Equity,QRVO US Equity,RCL US Equity,RE US Equity,REG US Equity,REGN US Equity,RF US Equity,RHI US Equity,RHT US Equity,RJF US Equity,RL US Equity,RMD US Equity,ROK US Equity,ROP US Equity,ROST US Equity,RSG US Equity,RTN US Equity,SBAC US Equity,SBUX US Equity,SCG US Equity,SCHW US Equity,SEE US Equity,SHW US Equity,SIVB US Equity,SJM US Equity,SLB US Equity,SLG US Equity,SNA US Equity,SNPS US Equity,SO US Equity,SPG US Equity,SPGI US Equity,SRCL US Equity,SRE US Equity,STI US Equity,STT US Equity,STX US Equity,STZ US Equity,SWK US Equity,SWKS US Equity,SYF US Equity,SYK US Equity,SYMC US Equity,SYY US Equity,T US Equity,TAP US Equity,TDG US Equity,TEL US Equity,TGT US Equity,TIF US Equity,TJX US Equity,TMK US Equity,TMO US Equity,TPR US Equity,TRIP US Equity,TROW US Equity,TRV US Equity,TSCO US Equity,TSN US Equity,TSS US Equity,TTWO US Equity,TWTR US Equity,TXN US Equity,TXT US Equity,UA US Equity,UAA US Equity,UAL US Equity,UDR US Equity,UHS US Equity,ULTA US Equity,UNH US Equity,UNM US Equity,UNP US Equity,UPS US Equity,URI US Equity,USB US Equity,UTX US Equity,V US Equity,VAR US Equity,VFC US Equity,VIAB US Equity,VLO US Equity,VMC US Equity,VNO US Equity,VRSK US Equity,VRSN US Equity,VRTX US Equity,VTR US Equity,VZ US Equity,WAT US Equity,WBA US Equity,WCG US Equity,WDC US Equity,WEC US Equity,WELL US Equity,WFC US Equity,WHR US Equity,WLTW US Equity,WM US Equity,WMB US Equity,WMT US Equity,WRK US Equity,WU US Equity,WY US Equity,WYNN US Equity,XEC US Equity,XEL US Equity,XLNX US Equity,XOM US Equity,XRAY US Equity,XRX US Equity,XYL US Equity,YUM US Equity,ZBH US Equity,ZION US Equity,ZTS US Equity
Industrial,Consumer Cyclical,Consumer Cyclical,Technology,Consumer Non-cyclical,Consumer Non-cyclical,Consumer Non-cyclical,Consumer Non-cyclical,Technology,Technology,Technology,Consumer Non-cyclical,Consumer Non-cyclical,Financial,Technology,Utilities,Utilities,Utilities,Consumer Non-cyclical,Financial,Consumer Non-cyclical,Financial,Financial,Financial,Financial,Technology,Basic Materials,Consumer Non-cyclical,Consumer Cyclical,Financial,Industrial,Consumer Non-cyclical,Technology,Technology,Industrial,Financial,Consumer Non-cyclical,Financial,Financial,Communications,Energy,Communications,Technology,Consumer Non-cyclical,Financial,Industrial,Energy,Energy,Basic Materials,Industrial,Consumer Cyclical,Financial,Industrial,Technology,Financial,Technology,Consumer Non-cyclical,Utilities,Financial,Consumer Cyclical,Industrial,Financial,Consumer Non-cyclical,Financial,Consumer Cyclical,Consumer Non-cyclical,Financial,Consumer Non-cyclical,Financial,Energy,Consumer Non-cyclical,Financial,Communications,Financial,Industrial,Consumer Non-cyclical,Technology,Financial,Consumer Non-cyclical,Consumer Cyclical,Financial,Financial,Technology,Consumer Non-cyclical,Consumer Non-cyclical,Industrial,Financial,Financial,Financial,Communications,Financial,Consumer Cyclical,Technology,Consumer Non-cyclical,Technology,Basic Materials,Financial,Consumer Non-cyclical,Industrial,Communications,Consumer Non-cyclical,Financial,Consumer Non-cyclical,Consumer Non-cyclical,Financial,Communications,Financial,Consumer Cyclical,Industrial,Utilities,Consumer Non-cyclical,Utilities,Financial,Energy,Industrial,Consumer Non-cyclical,Energy,Consumer Cyclical,Consumer Non-cyclical,Consumer Non-cyclical,Consumer Cyclical,Technology,Communications,Industrial,Consumer Non-cyclical,Communications,Technology,Technology,Consumer Non-cyclical,Energy,Energy,Utilities,Consumer Cyclical,Industrial,Financial,Consumer Cyclical,Consumer Non-cyclical,Consumer Cyclical,Consumer Non-cyclical,Communications,Communications,Communications,Communications,Financial,Consumer Cyclical,Industrial,Financial,Consumer Cyclical,Utilities,Utilities,Consumer Non-cyclical,Energy,Basic Materials,Technology,Technology,Communications,Consumer Non-cyclical,Utilities,Consumer Non-cyclical,Utilities,Consumer Non-cyclical,Basic Materials,Industrial,Energy,Financial,Financial,Energy,Utilities,Consumer Non-cyclical,Financial,Financial,Industrial,Utilities,Consumer Non-cyclical,Utilities,Consumer Non-cyclical,Utilities,Industrial,Communications,Financial,Consumer Cyclical,Consumer Cyclical,Communications,Industrial,Basic Materials,Industrial,Utilities,Communications,Technology,Technology,Financial,Consumer Cyclical,Industrial,Industrial,Industrial,Consumer Non-cyclical,Basic Materials,Communications,Communications,Financial,Energy,Industrial,Industrial,Industrial,Consumer Non-cyclical,Consumer Non-cyclical,Industrial,Consumer Cyclical,Communications,Communications,Consumer Cyclical,Consumer Non-cyclical,Consumer Cyclical,Industrial,Financial,Consumer Cyclical,Consumer Cyclical,Energy,Consumer Cyclical,Financial,Consumer Cyclical,Consumer Non-cyclical,Financial,Consumer Cyclical,Energy,Energy,Financial,Industrial,Consumer Cyclical,Consumer Cyclical,Consumer Non-cyclical,Industrial,Energy,Technology,Technology,Consumer Non-cyclical,Consumer Non-cyclical,Industrial,Consumer Non-cyclical,Financial,Consumer Non-cyclical,Consumer Non-cyclical,Technology,Financial,Consumer Non-cyclical,Basic Materials,Consumer Non-cyclical,Consumer Non-cyclical,Consumer Non-cyclical,Technology,Technology,Basic Materials,Communications,Technology,Consumer Non-cyclical,Industrial,Financial,Consumer Non-cyclical,Consumer Non-cyclical,Industrial,Financial,Industrial,Industrial,Industrial,Financial,Consumer Non-cyclical,Communications,Financial,Consumer Cyclical,Consumer Non-cyclical,Financial,Consumer Non-cyclical,Financial,Technology,Consumer Non-cyclical,Energy,Consumer Cyclical,Consumer Non-cyclical,Consumer Cyclical,Consumer Non-cyclical,Consumer Cyclical,Industrial,Financial,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Non-cyclical,Consumer Cyclical,Industrial,Consumer Non-cyclical,Industrial,Financial,Utilities,Consumer Cyclical,Technology,Consumer Cyclical,Basic Materials,Consumer Cyclical,Financial,Financial,Financial,Consumer Cyclical,Industrial,Consumer Cyclical,Consumer Cyclical,Technology,Consumer Non-cyclical,Consumer Non-cyclical,Consumer Non-cyclical,Consumer Non-cyclical,Financial,Consumer Cyclical,Consumer Cyclical,Consumer Non-cyclical,Industrial,Financial,Industrial,Consumer Non-cyclical,Consumer Non-cyclical,Basic Materials,Energy,Consumer Non-cyclical,Energy,Financial,Technology,Technology,Communications,Financial,Industrial,Technology,Consumer Non-cyclical,Energy,Consumer Cyclical,Financial,Utilities,Basic Materials,Communications,Energy,Utilities,Consumer Cyclical,Consumer Non-cyclical,Consumer Non-cyclical,Industrial,Energy,Utilities,Industrial,Technology,Financial,Basic Materials,Technology,Consumer Cyclical,Communications,Communications,Financial,Energy,Communications,Technology,Consumer Cyclical,Energy,Technology,Financial,Consumer Cyclical,Utilities,Utilities,Consumer Non-cyclical,Consumer Non-cyclical,Financial,Consumer Non-cyclical,Financial,Industrial,Consumer Cyclical,Industrial,Industrial,Financial,Consumer Non-cyclical,Financial,Industrial,Utilities,Basic Materials,Utilities,Consumer Non-cyclical,Financial,Financial,Energy,Consumer Cyclical,Consumer Non-cyclical,Basic Materials,Energy,Consumer Non-cyclical,Technology,Technology,Consumer Cyclical,Financial,Financial,Consumer Non-cyclical,Financial,Consumer Non-cyclical,Technology,Financial,Consumer Cyclical,Consumer Non-cyclical,Industrial,Industrial,Consumer Cyclical,Industrial,Industrial,Financial,Consumer Cyclical,Utilities,Financial,Industrial,Basic Materials,Financial,Consumer Non-cyclical,Energy,Financial,Industrial,Technology,Utilities,Financial,Consumer Non-cyclical,Industrial,Utilities,Financial,Financial,Technology,Consumer Non-cyclical,Industrial,Technology,Financial,Consumer Non-cyclical,Communications,Consumer Non-cyclical,Communications,Consumer Non-cyclical,Industrial,Industrial,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Financial,Consumer Non-cyclical,Consumer Cyclical,Communications,Financial,Financial,Consumer Cyclical,Consumer Non-cyclical,Consumer Non-cyclical,Technology,Communications,Technology,Industrial,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Financial,Consumer Non-cyclical,Consumer Cyclical,Consumer Non-cyclical,Financial,Industrial,Industrial,Consumer Non-cyclical,Financial,Industrial,Financial,Consumer Non-cyclical,Consumer Cyclical,Communications,Energy,Industrial,Financial,Consumer Non-cyclical,Communications,Consumer Non-cyclical,Financial,Communications,Industrial,Consumer Cyclical,Consumer Non-cyclical,Technology,Utilities,Financial,Financial,Consumer Cyclical,Financial,Industrial,Energy,Consumer Cyclical,Industrial,Consumer Non-cyclical,Financial,Consumer Cyclical,Energy,Utilities,Technology,Energy,Consumer Non-cyclical,Technology,Industrial,Consumer Cyclical,Consumer Non-cyclical,Financial,Consumer Non-cyclical
Electronics,Airlines,Retail,Computers,Pharmaceuticals,Pharmaceuticals,Healthcare-Products,Healthcare-Products,Computers,Software,Semiconductors,Agriculture,Commercial Services,Diversified Finan Serv,Software,Electric,Electric,Electric,Healthcare-Services,Insurance,Pharmaceuticals,Insurance,REITS,Insurance,Insurance,Software,Chemicals,Healthcare-Products,Airlines,Insurance,Electronics,Biotechnology,Semiconductors,Semiconductors,Electrical Compo&Equip,Diversified Finan Serv,Biotechnology,Diversified Finan Serv,REITS,Internet,Oil&Gas,Telecommunications,Software,Healthcare-Services,Insurance,Miscellaneous Manufactur,Oil&Gas,Oil&Gas,Chemicals,Electronics,Auto Parts&Equipment,REITS,Aerospace/Defense,Software,REITS,Semiconductors,Household Products/Wares,Water,Diversified Finan Serv,Retail,Aerospace/Defense,Banks,Healthcare-Products,Banks,Retail,Healthcare-Products,Diversified Finan Serv,Beverages,Insurance,Oil&Gas Services,Biotechnology,Banks,Internet,Diversified Finan Serv,Packaging&Containers,Pharmaceuticals,Software,Insurance,Healthcare-Products,Auto Parts&Equipment,REITS,Banks,Software,Food,Pharmaceuticals,Machinery-Constr&Mining,Insurance,Diversified Finan Serv,Real Estate,Media,REITS,Leisure Time,Software,Biotechnology,Software,Chemicals,Banks,Household Products/Wares,Transportation,Media,Healthcare-Services,Insurance,Cosmetics/Personal Care,Household Products/Wares,Banks,Media,Diversified Finan Serv,Retail,Machinery-Diversified,Electric,Healthcare-Services,Electric,Banks,Oil&Gas,Aerospace/Defense,Healthcare-Products,Oil&Gas,Retail,Cosmetics/Personal Care,Food,Retail,Software,Telecommunications,Transportation,Commercial Services,Telecommunications,Computers,Software,Pharmaceuticals,Oil&Gas,Oil&Gas,Electric,Airlines,Machinery-Diversified,Diversified Finan Serv,Retail,Healthcare-Services,Home Builders,Healthcare-Products,Media,Media,Media,Media,REITS,Retail,Machinery-Diversified,REITS,Retail,Electric,Electric,Healthcare-Services,Oil&Gas,Chemicals,Computers,Software,Internet,Commercial Services,Electric,Commercial Services,Electric,Cosmetics/Personal Care,Chemicals,Electrical Compo&Equip,Oil&Gas,REITS,REITS,Oil&Gas,Electric,Pharmaceuticals,REITS,Diversified Finan Serv,Miscellaneous Manufactur,Electric,Healthcare-Services,Electric,Healthcare-Products,Electric,Transportation,Internet,REITS,Auto Manufacturers,Distribution/Wholesale,Internet,Building Materials,Mining,Transportation,Electric,Internet,Software,Software,Banks,Retail,Electronics,Engineering&Construction,Machinery-Diversified,Commercial Services,Chemicals,Media,Media,REITS,Oil&Gas Services,Electronics,Aerospace/Defense,Miscellaneous Manufactur,Biotechnology,Food,Electronics,Auto Manufacturers,Internet,Internet,Retail,Commercial Services,Retail,Electronics,Banks,Auto Parts&Equipment,Distribution/Wholesale,Oil&Gas Services,Toys/Games/Hobbies,Banks,Apparel,Healthcare-Services,REITS,Retail,Oil&Gas,Oil&Gas,Insurance,Shipbuilding,Lodging,Leisure Time,Healthcare-Products,Electronics,Oil&Gas,Computers,Computers,Commercial Services,Food,Aerospace/Defense,Healthcare-Products,REITS,Food,Healthcare-Services,Computers,Diversified Finan Serv,Healthcare-Products,Chemicals,Biotechnology,Biotechnology,Commercial Services,Semiconductors,Software,Forest Products&Paper,Advertising,Semiconductors,Healthcare-Services,Miscellaneous Manufactur,REITS,Healthcare-Products,Commercial Services,Miscellaneous Manufactur,Diversified Finan Serv,Transportation,Building Materials,Engineering&Construction,Diversified Finan Serv,Pharmaceuticals,Telecommunications,Banks,Retail,Food,Banks,Food,REITS,Semiconductors,Household Products/Wares,Pipelines,Retail,Beverages,Apparel,Food,Retail,Transportation,Insurance,Retail,Home Furnishings,Home Builders,Healthcare-Services,Distribution/Wholesale,Aerospace/Defense,Pharmaceuticals,Aerospace/Defense,Insurance,Electric,Retail,Semiconductors,Airlines,Chemicals,Retail,Diversified Finan Serv,REITS,REITS,Lodging,Building Materials,Toys/Games/Hobbies,Retail,Semiconductors,Pharmaceuticals,Commercial Services,Food,Healthcare-Products,Insurance,Lodging,Textiles,Food,Building Materials,Insurance,Miscellaneous Manufactur,Beverages,Agriculture,Chemicals,Oil&Gas,Pharmaceuticals,Oil&Gas,Banks,Software,Software,Telecommunications,Banks,Electronics,Semiconductors,Pharmaceuticals,Oil&Gas,Leisure Time,Diversified Finan Serv,Electric,Mining,Internet,Oil&Gas,Gas,Apparel,Pharmaceuticals,Commercial Services,Aerospace/Defense,Oil&Gas Services,Electric,Transportation,Computers,Banks,Iron/Steel,Semiconductors,Housewares,Media,Media,REITS,Pipelines,Advertising,Software,Retail,Oil&Gas,Software,Savings&Loans,Auto Manufacturers,Electric,Electric,Beverages,Pharmaceuticals,Insurance,Cosmetics/Personal Care,Insurance,Miscellaneous Manufactur,Home Builders,Packaging&Containers,Electronics,REITS,Agriculture,Banks,Environmental Control,Electric,Chemicals,Electric,Pharmaceuticals,Insurance,REITS,Oil&Gas,Apparel,Commercial Services,Chemicals,Oil&Gas,Commercial Services,Semiconductors,Semiconductors,Leisure Time,Insurance,REITS,Biotechnology,Banks,Commercial Services,Software,Diversified Finan Serv,Apparel,Healthcare-Products,Machinery-Diversified,Machinery-Diversified,Retail,Environmental Control,Aerospace/Defense,REITS,Retail,Electric,Diversified Finan Serv,Packaging&Containers,Chemicals,Banks,Food,Oil&Gas Services,REITS,Hand/Machine Tools,Software,Electric,REITS,Commercial Services,Environmental Control,Electric,Banks,Banks,Computers,Beverages,Hand/Machine Tools,Semiconductors,Diversified Finan Serv,Healthcare-Products,Internet,Food,Telecommunications,Beverages,Aerospace/Defense,Electronics,Retail,Retail,Retail,Insurance,Healthcare-Products,Retail,Internet,Diversified Finan Serv,Insurance,Retail,Food,Commercial Services,Software,Internet,Semiconductors,Miscellaneous Manufactur,Apparel,Apparel,Airlines,REITS,Healthcare-Services,Retail,Healthcare-Services,Insurance,Transportation,Transportation,Commercial Services,Banks,Aerospace/Defense,Diversified Finan Serv,Healthcare-Products,Apparel,Media,Oil&Gas,Building Materials,REITS,Commercial Services,Internet,Biotechnology,REITS,Telecommunications,Electronics,Retail,Healthcare-Services,Computers,Electric,REITS,Banks,Home Furnishings,Insurance,Environmental Control,Pipelines,Retail,Packaging&Containers,Commercial Services,REITS,Lodging,Oil&Gas,Electric,Semiconductors,Oil&Gas,Healthcare-Products,Office/Business Equip,Machinery-Diversified,Retail,Healthcare-Products,Banks,Pharmaceuticals
